n,gamma_n,delta_model,difference,relative_error_percent
1,14.134725141734695,14.125026611862104,-0.009698529872590,0.0686149166
2,21.022039638771556,21.187539917793156,0.165500279021600,0.7872703214
3,25.010857580145689,28.250053223724208,3.239195643578519,12.9511578449
4,30.424876125859512,35.312566529655257,4.887690403795744,16.0647832503
5,32.935061587739192,42.375079835586313,9.440018247847121,28.6625188864
6,37.586178158825675,49.437593141517361,11.851414982691686,31.5313116769
7,40.918719012147498,56.500106447448417,15.581387435300918,38.0788739517
8,43.327073280915002,63.562619753379465,20.235546472464463,46.7041619480
9,48.005150881167161,70.625133059310514,22.619982178143353,47.1199064328
10,49.773832477672300,77.687646365241577,27.913813887569276,56.0813031628
11,52.970321477714464,84.750159671172625,31.779838193458161,59.9955546934
12,56.446247697063392,91.812672977103674,35.366425280040282,62.6550509962
